Station Name,Date (Local Standard Time),Air Temp. Min. (C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. ,Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Fine Fuel Moisture Code,Fine Fuel Moisture Code Source Flag,Fine Fuel Moisture Code Comment,Initial Spread Index,Initial Spread Index Source Flag,Initial Spread Index Comment
Jasper Warden,28-Nov-19,-21.7,ACTUAL,100,-10.9,ACTUAL,100,-17.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.5,AGGREGATED,100,49.6,AGGREGATED,100,77.6,COMPUTED,Computed for Thu Nov 28 13:00:00 MST 2019,1.1,COMPUTED,Computed for Thu Nov 28 13:00:00 MST 2019
Jasper Warden,29-Nov-19,-23.5,ACTUAL,100,-9.2,ACTUAL,100,-19.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.2,AGGREGATED,100,27,AGGREGATED,100,78.2,COMPUTED,Computed for Fri Nov 29 13:00:00 MST 2019,1.2,COMPUTED,Computed for Fri Nov 29 13:00:00 MST 2019
Jasper Warden,30-Nov-19,-21.8,ACTUAL,100,-6.5,ACTUAL,100,-17.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.4,AGGREGATED,100,73.6,AGGREGATED,50,78.9,COMPUTED,Computed for Sat Nov 30 13:00:00 MST 2019,1.3,COMPUTED,Computed for Sat Nov 30 13:00:00 MST 2019
Jasper Warden,01-Dec-19,-18.3,ACTUAL,100,-3.4,ACTUAL,100,-12,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.2,AGGREGATED,100,101.3,AGGREGATED,70.8,79.8,COMPUTED,Computed for Sun Dec 01 13:00:00 MST 2019,1.5,COMPUTED,Computed for Sun Dec 01 13:00:00 MST 2019
Jasper Warden,02-Dec-19,-11.7,ACTUAL,100,2.5,ACTUAL,100,-3.6,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],8,AGGREGATED,100,166.2,AGGREGATED,100,81.3,COMPUTED,Computed for Mon Dec 02 13:00:00 MST 2019,1.6,COMPUTED,Computed for Mon Dec 02 13:00:00 MST 2019
Jasper Warden,03-Dec-19,-0.9,ACTUAL,100,3.9,ACTUAL,100,1.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],7.3,AGGREGATED,100,169.7,AGGREGATED,100,82,COMPUTED,Computed for Tue Dec 03 13:00:00 MST 2019,1.7,COMPUTED,Computed for Tue Dec 03 13:00:00 MST 2019
Jasper Warden,04-Dec-19,-13.8,ACTUAL,100,0.2,ACTUAL,100,-3.3,AGGREGATED,100,2.8,AGGREGATED,using element [Precip. Weighing],4.5,AGGREGATED,100,37.4,AGGREGATED,100,50,COMPUTED,Computed for Wed Dec 04 13:00:00 MST 2019,0.2,COMPUTED,Computed for Wed Dec 04 13:00:00 MST 2019
Jasper Warden,05-Dec-19,-20.1,ACTUAL,100,-6.5,ACTUAL,100,-13,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. Weighing],5.8,AGGREGATED,100,173.8,AGGREGATED,100,56.1,COMPUTED,Computed for Thu Dec 05 13:00:00 MST 2019,0.4,COMPUTED,Computed for Thu Dec 05 13:00:00 MST 2019
Jasper Warden,06-Dec-19,-8.9,ACTUAL,100,-2.6,ACTUAL,100,-5.7,AGGREGATED,100,4.8,AGGREGATED,using element [Precip. Weighing],3.6,AGGREGATED,100,170.5,AGGREGATED,100,35.5,COMPUTED,Computed for Fri Dec 06 13:00:00 MST 2019,0,COMPUTED,Computed for Fri Dec 06 13:00:00 MST 2019
Jasper Warden,07-Dec-19,-9.2,ACTUAL,100,-2.2,ACTUAL,100,-4,AGGREGATED,100,5.2,AGGREGATED,using element [Precip. Weighing],9.9,AGGREGATED,100,21.1,AGGREGATED,100,20.1,COMPUTED,Computed for Sat Dec 07 13:00:00 MST 2019,0,COMPUTED,Computed for Sat Dec 07 13:00:00 MST 2019
